config,backend,num_ts,fill_ms,maxrss_gib,out_raw_gib,out_disk_gib,write_mibps,scratch_used_mib,wall_s
baseline,swap,16000000,425450,13.42,0.0,0.0,0.0,6,426
spill,file,16000000,472328,0.09,221.4,221.4,480.0,6,474
