config,backend,num_ts,pattern,prop,budget_mib,fill_ms,drain_ms,rss_fill_kib,rss_fill_peak_kib,rss_end_kib,pageouts,out_mib,out_raw_mib,pageins,pagein_mib,write_mibps
spill,swap,800000,append,3.0,64,16258,0,261832,263288,28656,17687,6958.7,6958.7,17355,6363.3,428.0
spill-lz4,swap,800000,append,3.0,64,22835,0,247280,252744,92700,17687,1263.9,6958.7,17355,6363.3,55.3
spill,file,800000,append,3.0,64,43331,0,84572,89072,84572,17687,6958.7,6958.7,17355,6363.3,160.6
