config,backend,num_ts,pattern,prop,budget_mib,fill_ms,drain_ms,rss_fill_kib,rss_fill_peak_kib,rss_end_kib,pageouts,out_mib,out_raw_mib,pageins,pagein_mib,write_mibps
baseline,swap,2000000,append,3.0,64,34397,0,1749396,1749396,1412648,0,0.0,0.0,0,0.0,0.0
spill,file,2000000,append,3.0,64,41664,0,83124,89132,71952,39742,22634.7,22634.7,38853,21036.3,543.3
spill-lz4,file,2000000,append,3.0,64,70936,0,84992,93016,77744,39742,4075.5,22634.7,38853,21036.3,57.5
baseline,swap,4000000,append,3.0,64,76325,0,3504916,3506464,2363572,0,0.0,0.0,0,0.0,0.0
spill,file,4000000,append,3.0,64,92532,0,86588,91696,82500,91383,52006.0,52006.0,89562,48728.9,562.0
spill-lz4,file,4000000,append,3.0,64,163058,0,89512,99620,82272,91383,9318.8,52006.0,89562,48728.9,57.2
baseline,swap,8000000,append,3.0,64,167939,0,7028588,7028588,3463956,0,0.0,0.0,0,0.0,0.0
spill,file,8000000,append,3.0,64,197453,0,87992,91860,70988,172882,105111.3,105111.3,169192,98477.3,532.3
spill-lz4,file,8000000,append,3.0,64,352083,0,89176,96380,89176,172882,18791.6,105111.3,169192,98477.3,53.4
